NationCodeStr,QuestID,Memo,XmlPath,GroupNo,QuestType,RewardExp,RewardGold,iRewardPerLevel_Exp,iRewardPerLevel_Money,LevelMin,LevelMax,LimitLevelMax,TacticsLevel,TacticsExp,GuildExp,QuestDifficult,f_OrderIndex,f_IsCanRemoteComplete,f_IsCanShare,TitleText,GroupName,Class,PreQuestAnd,PreQuestOr,NotQuest,MinParty,MaxParty,DraClassLimit,f_Wanted_ClearCount,f_Wanted_ItemNo,f_Wanted_ItemCount,f_Wanted_CoolTime,f_Dra_Wanted_ItemNo,f_Dra_Wanted_ItemCount,f_IsCanRemoteAccept
0,1,일어나! 비룡(4),QUEST/QUEST00000001.XML,0,2,19680,168,0,0,20,99,0,0,0,0,0,0,1,1,10000101,500009,0,4003,0,0,1,1,32766,0,0,0,0,0,0,1
0,2,군주의 검 (1),QUEST/QUEST00000002.XML,0,1,46000,290,0,0,29,29,0,0,0,0,0,0,1,1,500023,516441,137438953470,0,0,0,1,1,32766,0,0,0,0,0,0,0
0,3,군주의 검 (2),QUEST/QUEST00000003.XML,0,1,340000,1600,0,0,30,31,0,0,0,0,0,0,1,1,500032,508229,137438953470,2,0,0,1,1,32766,0,0,0,0,0,0,1
0,4,마법의 책,QUEST/QUEST00000004.XML,0,2,6600,45,0,0,5,19,99,0,0,0,0,0,1,1,10000401,500188,137438953470,272,0,89,1,1,32766,0,0,0,0,0,0,0
0,5,도구점의 궁여지책,QUEST/QUEST00000005.XML,0,1,116000,710,0,0,17,19,0,0,0,0,0,0,1,1,500042,509202,137438953470,0,0,0,1,1,0,0,0,0,0,0,0,1
0,6,아베르노의 명검,QUEST/QUEST00000006.XML,0,1,74000,500,0,0,15,16,0,0,0,0,0,0,1,1,500076,509202,137438953470,81,0,0,1,1,0,0,0,0,0,0,0,1
0,9,당황한 아베르노,QUEST/QUEST00000009.XML,0,1,74000,500,0,0,15,16,0,0,0,0,0,0,1,1,500101,509202,137438953470,6,0,0,1,1,0,0,0,0,0,0,0,1
0,10,최후의 보루 주술사 샤포,QUEST/QUEST00000010.XML,0,1,162000,530,0,0,16,17,0,0,0,0,0,0,1,1,500105,509202,137438953470,9,0,0,1,1,0,0,0,0,0,0,0,1
0,11,그 남자는 거기 없었다!,QUEST/QUEST00000011.XML,0,1,162000,700,0,0,16,17,0,0,0,0,0,0,1,1,500111,509202,137438953470,0,0,0,1,1,0,0,0,0,0,0,0,1
0,12,때론 쓸모 있는 초목이들,QUEST/QUEST00000012.XML,0,-1,10400,260,0,0,6,11,0,0,0,0,0,0,1,1,500127,503560,137438953470,0,0,0,1,1,0,0,0,0,0,0,0,1
0,15,남자가 여자를 사랑할 때,QUEST/QUEST00000015.XML,0,1,19400,170,0,0,21,21,0,0,0,0,0,0,1,1,500155,500009,137438953470,0,0,0,1,1,32766,0,0,0,0,0,0,0
0,17,꼬깨 퇴치,QUEST/QUEST00000017.XML,0,1,96000,730,0,0,23,24,0,0,0,0,0,0,1,1,500187,505756,137438953470,0,0,0,1,1,32766,0,0,0,0,0,0,1
0,18,별가사리 소탕,QUEST/QUEST00000018.XML,0,1,126000,730,0,0,23,24,0,0,0,0,0,0,1,1,500195,505756,137438953470,0,0,0,1,1,32766,0,0,0,0,0,0,1
0,19,고독이 몸부림칠 때,QUEST/QUEST00000019.XML,0,1,9400,60,0,0,8,13,0,0,0,0,0,0,1,1,500205,501265,137438953470,908,0,0,1,1,0,0,0,0,0,0,0,0
0,21,[1차전직]기사로 전직! (기사),QUEST/QUEST00000021.XML,0,2,62000,1800,0,0,20,99,0,0,0,0,0,0,1,1,500942,500009,2,1568,0,22,1,1,0,0,0,0,0,0,0,1
0,22,[1차전직]투사로 전직! (투사),QUEST/QUEST00000022.XML,0,2,62000,1800,0,0,20,99,0,0,0,0,0,0,1,1,500943,500009,2,1568,0,21,1,1,0,0,0,0,0,0,0,1
0,23,[1차전직]메이지로 전직! (메이지),QUEST/QUEST00000023.XML,0,2,62000,1800,0,0,20,99,0,0,0,0,0,0,1,1,500944,500009,4,1568,0,24,1,1,0,0,0,0,0,0,0,1
0,24,[1차전직]전투 마법사로 전직! (전투법사),QUEST/QUEST00000024.XML,0,2,62000,1800,0,0,20,99,0,0,0,0,0,0,1,1,500945,500009,4,1568,0,23,1,1,0,0,0,0,0,0,0,1
0,25,[1차전직]사냥꾼으로 전직! (사냥꾼),QUEST/QUEST00000025.XML,0,2,62000,1800,0,0,20,99,0,0,0,0,0,0,1,1,501643,500009,8,1568,0,26,1,1,0,0,0,0,0,0,0,1
