NationCodeStr,SkillNo,Level,NameNo,RscNameNo,ActionName,Memo,Type,ClassLimit,LevelLimit,WeaponLimit,StateLimit,ParentSkill,Target,Range,CastTime,CoolTime,AnimationTime,MP,HP,EffectID,Abil01,Abil02,Abil03,Abil04,Abil05,Abil06,Abil07,Abil08,Abil09,Abil10,CmdStringNo,DraClassLimit,f_ActionCategory
0,300401,1,300401,300401,0,최하급 체력 회복 포션,2,0,0,0,0,300401,0,0,0,0,0,0,0,300401,300401,0,20820,30101,0,0,0,0,0,0,0,0,0
0,300501,1,300501,300501,0,최하급 마나 회복 포션,2,0,0,0,0,300501,0,0,0,0,0,0,0,300501,300501,0,20820,30101,0,0,0,0,0,0,0,0,0
0,300601,1,300601,300601,0,하급 체력 회복 포션,2,0,0,0,0,300601,0,0,0,0,0,0,0,300601,300601,0,20820,30101,0,0,0,0,0,0,0,0,0
0,300701,1,300701,300701,0,하급 마나 회복 포션,2,0,0,0,0,300701,0,0,0,0,0,0,0,300701,300701,0,20820,30101,0,0,0,0,0,0,0,0,0
0,300801,1,300801,300801,0,중급 체력 회복 포션,2,0,0,0,0,300801,0,0,0,0,0,0,0,300801,300801,0,20820,30101,0,0,0,0,0,0,0,0,0
0,300901,1,300901,300901,0,중급 마나 회복 포션,2,0,0,0,0,300901,0,0,0,0,0,0,0,300901,300901,0,20820,30101,0,0,0,0,0,0,0,0,0
0,301001,1,301001,301001,0,상급 체력 회복 포션,2,0,0,0,0,301001,0,0,0,0,0,0,0,301001,301001,0,20820,30101,0,0,0,0,0,0,0,0,0
0,301101,1,301101,301101,0,상급 마나 회복 포션,2,0,0,0,0,301101,0,0,0,0,0,0,0,301101,301101,0,20820,30101,0,0,0,0,0,0,0,0,0
0,301201,1,301201,301201,0,최상급 체력 회복 포션,2,0,0,0,0,301201,0,0,0,0,0,0,0,301201,301201,0,20820,30101,0,0,0,0,0,0,0,0,0
0,301301,1,301301,301301,0,최상급 마나 회복 포션,2,0,0,0,0,301301,0,0,0,0,0,0,0,301301,301301,0,20820,30101,0,0,0,0,0,0,0,0,0
0,301401,1,301401,301401,0,최하급 체력 회복 포션2,2,0,0,0,0,301401,0,0,0,0,0,0,0,301401,301401,0,20820,30101,0,0,0,0,0,0,0,0,0
0,301501,1,301501,301501,0,최하급 마나 회복 포션2,2,0,0,0,0,301501,0,0,0,0,0,0,0,301501,301501,0,20820,30101,0,0,0,0,0,0,0,0,0
0,301601,1,301601,301601,0,하급 체력 회복 포션2,2,0,0,0,0,301601,0,0,0,0,0,0,0,301601,301601,0,20820,30101,0,0,0,0,0,0,0,0,0
0,301701,1,301701,301701,0,하급 마나 회복 포션2,2,0,0,0,0,301701,0,0,0,0,0,0,0,301701,301701,0,20820,30101,0,0,0,0,0,0,0,0,0
0,301801,1,301801,301801,0,중급 체력 회복 포션2,2,0,0,0,0,301801,0,0,0,0,0,0,0,301801,301801,0,20820,30101,0,0,0,0,0,0,0,0,0
