NationCodeStr,SkillNo,Level,NameNo,RscNameNo,ActionName,Memo,Type,ClassLimit,DraClassLimit,LevelLimit,WeaponLimit,StateLimit,ParentSkill,Target,Range,CastTime,CoolTime,AnimationTime,MP,HP,EffectID,Abil01,Abil02,Abil03,Abil04,Abil05,Abil06,Abil07,Abil08,Abil09,Abil10,CmdStringNo,f_ActionCategory
0,0,0,0,0,기본이니삭제금지,기본이니삭제금지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,245,1,0,0,a_moving_tree,캐릭선택창에서 나뭇잎 회전시키기,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10070,1,0,0,a_bruce,a_bruce,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10071,1,0,0,a_sexygirl,a_sexygirl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10073,1,0,0,a_transform,a_transform,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10074,1,0,0,a_Bumpercar,a_Bumpercar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10075,1,0,0,a_Bruce7Kick,a_Bruce7Kick,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0
0,10076,1,0,0,a_transform_7kick,a_transform_7kick,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0
0,10080,1,0,0,a_MultiShot,6연시,2,0,0,0,3072,0,0,0,79,0,0,0,0,0,10080,10065,0,20820,0,0,0,0,0,0,0,0,0
0,10088,1,0,0,a_jump_MultiShot,6연시점프,2,0,0,0,3072,0,0,3,79,0,0,0,0,0,2,10065,0,20820,0,0,0,0,0,0,0,0,0
0,10089,1,0,0,a_frost_nova,프로스트노바,2,0,0,1,0,2,0,3,59,0,1000,0,20,0,10089,10089,0,20820,0,0,0,0,0,0,0,0,0
0,10090,1,0,0,a_SwiftShot,실크,2,0,0,1,0,0,0,3,39,0,2000,0,30,0,10090,10089,0,20820,0,0,0,0,0,0,0,0,0
